Title,Body,Labels,Milestone,Epic,Sprint,Assignees,Estimate,Priority,AcceptanceCriteria,Dependencies,Phase
CI/CD pipeline básico,"Configurar pipelines CI/CD (build, test, container publish) y despliegue a 'stage'.","S1,devops,cicd,F0",F0,EPIC: Fundaciones & Descubrimiento,S1,DevOps,8,P1,Pipeline verde con tests; despliegue automático a stage tras merge.,Repos monorepo + config inicial,F0
"Esqueleto de servicios (Payments, Billing-SIF)",Crear servicios con scaffolding (OpenAPI v1 bosquejo) y health checks.,"S1,backend,scaffold,F0",F0,EPIC: Fundaciones & Descubrimiento,S1,"BE Payments,BE Billing-SIF",5,P1,Servicios arrancan; endpoints /health y /ready; OpenAPI bosquejo commit.,CI/CD pipeline básico,F0
Infra: Terraform + Kubernetes base,"Provisionar clusters K8s y recursos base (namespaces, ingress, certificados).","S1,infra,k8s,F0",F0,EPIC: Fundaciones & Descubrimiento,S1,DevOps,8,P1,Cluster funcional; ingress con certificado válido; namespaces por entorno.,CI/CD pipeline básico,F0
Repos monorepo + config inicial,"Crear repositorios (monorepo o polyrepo decidido por ADR), políticas de ramas, CODEOWNERS, PR templates.","S1,devops,repo,F0",F0,EPIC: Fundaciones & Descubrimiento,S1,"DevOps,PM/PO",5,P1,Repos creados; protección ramas; CI básico dispara en PR.,,F0
SAST/SCA y políticas de logging,"Activar escaneos SAST/SCA, configurar sanitización de logs sin PII/PAN.","S1,security,quality,F0",F0,EPIC: Fundaciones & Descubrimiento,S1,"Security/Compliance,DevOps",3,P1,Build falla ante hallazgos críticos; pruebas de fuga de PII en logs = 0.,CI/CD pipeline básico,F0
Service Mesh con mTLS,Desplegar service mesh (p.ej. Istio/Linkerd) con mTLS por defecto.,"S1,security,networking,F0",F0,EPIC: Fundaciones & Descubrimiento,S1,"DevOps,Security",5,P1,mTLS activo entre pods; política deny-by-default aplicada.,Infra: Terraform + Kubernetes base,F0
"ADR: Event-sourcing, outbox, CQRS, particionado",Publicar ADRs que justifiquen decisiones de arquitectura clave.,"S1,architecture,ADR,F0",F0,EPIC: Fundaciones & Descubrimiento,S1,Tech Lead,3,P2,ADRs aprobados por al menos 3 revisores; versionados.,,F0
EPIC: Fundaciones & Descubrimiento,"F0: Arquitectura, entornos, seguridad base, estándares y backlog.","epic,F0,architecture,security",F0,,,"PM/PO,Tech Lead",,P1,,,F0
Esquema Registro SIF,"Definir esquema del Registro SIF con prev_hash/curr_hash, payload QR, acuses AEAT.","S1,sif,data-model,F1",F1,EPIC: Núcleo SIF & Pagos (MVP-1 α),S1,"BE Billing-SIF,Tech Lead",5,P1,Esquema revisado; migraciones aplicadas; validado con 1000 registros sintéticos.,"Esqueleto de servicios (Payments, Billing-SIF)",F1
Librería de hashing canónico SIF,Implementar hashing canónico y encadenado para el diario SIF.,"S1,sif,crypto,F1",F1,EPIC: Núcleo SIF & Pagos (MVP-1 α),S1,BE Billing-SIF,5,P1,Tests unitarios ≥ 90%; vector de prueba reproducible.,Esquema Registro SIF,F1
PoC generador de QR,Prototipo de generación de QR con payload SIF y verificación.,"S1,sif,qr,F1",F1,EPIC: Núcleo SIF & Pagos (MVP-1 α),S1,"BE Billing-SIF,FE/Backoffice",3,P2,QR leído con 3 lectores; contenido conforme a especificación interna.,Esquema Registro SIF,F1
API POST /v1/invoices (v0),Exponer endpoint para registrar factura SIF con validaciones fiscales básicas.,"S2,api,sif,F1",F1,EPIC: Núcleo SIF & Pagos (MVP-1 α),S2,BE Billing-SIF,5,P1,Contract tests OK; respuestas 201/4xx; documentación OpenAPI actualizada.,Persistencia append-only SIF (PostgreSQL particionado),F1
Benchmark P95 < 250 ms (SIF sin AEAT),Pruebas de performance con k6 sobre /v1/invoices para asegurar P95 < 250 ms.,"S2,performance,k6,F1",F1,EPIC: Núcleo SIF & Pagos (MVP-1 α),S2,"QA,DevOps",3,P1,Reporte de performance en stage con 1k-2k TPS; P95 < 250 ms.,API POST /v1/invoices (v0),F1
Persistencia append-only SIF (PostgreSQL particionado),"Crear tabla append-only con particionado por fecha, índices, y triggers necesarios.","S2,database,sif,F1",F1,EPIC: Núcleo SIF & Pagos (MVP-1 α),S2,BE Billing-SIF,8,P1,Inserción 1k TPS; integridad de cadena comprobada con >10^6 registros sintéticos.,Librería de hashing canónico SIF,F1
Validaciones fiscales básicas (SIF),"Implementar reglas sintácticas y de negocio mínimas (tipos de IVA, rectificativas, simplificadas).","S2,validation,tax,F1",F1,EPIC: Núcleo SIF & Pagos (MVP-1 α),S2,"BE Billing-SIF,QA",5,P2,Suite de tests con datasets sintéticos; tasa de falsos positivos < 1%.,API POST /v1/invoices (v0),F1
Idempotency keys E2E,Mecanismo de claves de idempotencia en API y capas internas.,"S3,reliability,api,F1",F1,EPIC: Núcleo SIF & Pagos (MVP-1 α),S3,"BE Payments,BE Billing-SIF",5,P1,Colisiones < 1ppm; repetición segura ante duplicados; métricas expuestas.,Payments: payment_intents (auth/capture mock),F1
Observabilidad base (tracing + métricas + alertas SLO),"Configurar OpenTelemetry, métricas clave y alertas SLO.","S3,observability,otel,F1",F1,EPIC: Núcleo SIF & Pagos (MVP-1 α),S3,"DevOps,Tech Lead",5,P1,Dashboards listos; alertas activas para P95/P99 y error budget.,Outbox pattern + Kafka,F1
