Title,Body,Labels,Milestone
[EPIC] E1 Infra & CI/CD,"Infraestructura base, CI/CD, Helm, políticas de admisión.","epic,e1-infra-and-ci-cd,phase:roadmap",Roadmap
Repo monorepo,"Crear repo 'psp-platform' y subir estructura base (services/, charts/, infra/, docs/).","type:task,e1-infra-and-ci-cd,priority:high,infra,repo,bootstrap",E1 Infra & CI/CD
Workflows CI,Pipeline por PR: build+test Go/Kotlin/TS; cache dependencias; artefactos.,"type:task,e1-infra-and-ci-cd,priority:high,ci,quality,automation",E1 Infra & CI/CD
SAST/SCA/Trivy/Syft,"Añadir Semgrep (SAST), SCA de dependencias, Trivy (contenedores) y SBOM con Syft.","type:task,e1-infra-and-ci-cd,priority:high,security,sast,sca,containers",E1 Infra & CI/CD
Firma imágenes (Cosign),Firmar imágenes en CI y verificar firma antes de desplegar.,"type:task,e1-infra-and-ci-cd,priority:medium,supply-chain,cosign",E1 Infra & CI/CD
Registry & push,Configurar GHCR/ECR/GCR y push con etiquetas semver+sha.,"type:task,e1-infra-and-ci-cd,priority:medium,registry,release",E1 Infra & CI/CD
Helm umbrella + subcharts,"Crear infra/helm y charts/{payments,billing-sif,bff-api} con probes y resources.","type:task,e1-infra-and-ci-cd,priority:high,helm,k8s,platform",E1 Infra & CI/CD
Kyverno/OPA baseline,"Políticas: no :latest, no privileged, requests/limits obligatorios.","type:task,e1-infra-and-ci-cd,priority:high,policy,kyverno,opa",E1 Infra & CI/CD
External Secrets Operator,Instalar ESE y ejemplo de secret desde KMS/Secret Manager.,"type:task,e1-infra-and-ci-cd,priority:medium,secrets,kms,k8s",E1 Infra & CI/CD
[EPIC] E2 Seguridad & Claves,"KMS/HSM, crypto-kit, firma de imágenes, secrets.","epic,e2-seguridad-and-claves,phase:roadmap",Roadmap
Diseño jerarquía de claves,CMK por región; KEK por tenant; DEK por uso; policy de rotación (90 días).,"type:task,e2-seguridad-and-claves,priority:high,kms,crypto,governance",E2 Seguridad & Claves
Crypto-kit (Go),Librería AES-256-GCM + HMAC-SHA-256 + HKDF con API fácil.,"type:task,e2-seguridad-and-claves,priority:high,crypto,go,sdk",E2 Seguridad & Claves
Crypto-kit (JVM),Librería equivalente para Kotlin/Java.,"type:task,e2-seguridad-and-claves,priority:high,crypto,jvm,sdk",E2 Seguridad & Claves
Crypto-kit (TS/Node),Librería equivalente para TypeScript.,"type:task,e2-seguridad-and-claves,priority:medium,crypto,ts,sdk",E2 Seguridad & Claves
